symbol,long_score,short_score,peak,dd,pump_5,pump_10,dump_5,dump_10
PARTIUSDT,18.035361110404985,11.25,0.8982035928143762,-5.089820359281438,0,0,1,0
DOTUSDT,26.755737734345765,24.761226415094335,0.3348214285714289,-3.5714285714285747,0,0,0,0
DOTUSDT,21.0,34.65440531246295,1.9630484988452674,-0.6928406466512709,0,0,0,0
DOTUSDT,16.0,27.116983725236754,1.4806378132118465,-2.050113895216403,0,0,0,0
DOTUSDT,25.0,19.638272466243777,4.055619930475091,-1.7381228273464673,0,0,0,0
DOTUSDT,16.0,37.89417457068074,2.2547914317925613,-3.833145434047354,0,0,0,0
DOTUSDT,50.696951318390205,28.0,1.5046296296296309,-1.5046296296296309,0,0,0,0
DOTUSDT,47.60721468397443,3.0,0.0,-5.034324942791766,0,0,1,0
DOTUSDT,34.26367220015021,20.0,0.9592326139088738,-2.2781774580335754,0,0,0,0
DOTUSDT,30.506477658110207,22.28745827372436,1.699029126213594,-0.7281553398058259,0,0,0,0
DOTUSDT,47.980556315153,33.0,0.3584229390681007,-1.5531660692951028,0,0,0,0
DOTUSDT,25.23298920694508,27.599360311500487,2.533172496984321,-0.9650180940892652,0,0,0,0
DOTUSDT,8.0,37.79366758361047,5.300353356890464,-0.8244994110718501,1,0,0,0
DOTUSDT,10.0,22.736335221238292,1.0273972602739736,-0.9132420091324209,0,0,0,0
DOTUSDT,49.196172248803826,17.348471824259786,1.1402508551881425,-0.3420752565564427,0,0,0,0
DOTUSDT,6.0,26.08804063341595,0.454545454545455,-3.9772727272727306,0,0,0,0
ZORAUSDT,37.246703077594255,9.267026447462445,0.3552397868561276,-3.128842738078973,0,0,0,0
ZORAUSDT,21.0,31.507485777852956,8.405960078718028,-0.36547652516165285,1,0,0,0
ZORAUSDT,13.0,33.94694190661038,3.7355146557600536,-0.899795501022496,0,0,0,0
ZORAUSDT,20.0,25.478839539404817,3.179824561403503,-1.8503289473684288,0,0,0,0
ZORAUSDT,12.0,40.92383782959914,0.173611111111111,-4.113247863247865,0,0,0,0
ZORAUSDT,29.863865401533225,18.546897892061544,1.2617859123682744,-2.398779811425396,0,0,0,0
ZORAUSDT,22.0,47.3945711886067,2.256581696615137,-3.078423178715697,0,0,0,0
ZORAUSDT,39.904424609824396,26.042506891048838,3.1412875052824356,-3.0708550500070477,0,0,0,0
ZORAUSDT,36.88102402544435,16.820594697524545,4.525014052838676,-0.2951096121416552,0,0,0,0
ZORAUSDT,20.0,18.799972888983092,0.4850332594234956,-2.96563192904656,0,0,0,0
ZORAUSDT,71.74476244184403,23.0,2.168674698795186,-0.25513819985825353,0,0,0,0
ZORAUSDT,11.0,9.05260585938835,0.4788732394366099,-2.000000000000009,0,0,0,0
ZORAUSDT,5.0,5.100958809450486,2.159704461494746,-2.3586246092640004,0,0,0,0
ZORAUSDT,49.0,8.811380450181023,1.9886363636363562,-0.4403409090909183,0,0,0,0
ZORAUSDT,54.0,25.01217311515523,0.2946541321734276,-3.648098779290022,0,0,0,0
TOWNSUSDT,18.0,19.0,2.3364485981308474,-2.3364485981308474,0,0,0,0
TOWNSUSDT,15.0,21.05425494398177,5.263157894736857,-2.3923444976076413,1,0,0,0
TOWNSUSDT,15.0,36.0,1.9230769230769285,-3.3653846153846034,0,0,0,0
TOWNSUSDT,16.0,7.852510208983913,4.455445544554445,-3.4653465346534738,0,0,0,0
TOWNSUSDT,69.0,27.0,7.655502392344498,-2.3923444976076413,1,0,0,0
TOWNSUSDT,14.0,27.0,5.797101449275378,-0.9661835748792088,1,0,0,0
TOWNSUSDT,24.0,19.507578628268195,0.4807692307692321,-4.8076923076922995,0,0,0,0
TOWNSUSDT,11.0,7.2934827729348335,3.999999999999989,-2.500000000000006,0,0,0,0
TOWNSUSDT,27.24695459579183,13.0,1.485148514851489,-1.9801980198019855,0,0,0,0
TOWNSUSDT,21.0,4.854368932038742,2.9702970297029565,-0.9900990099009928,0,0,0,0
TOWNSUSDT,28.0,8.0,2.8846153846153926,-2.8846153846153717,0,0,0,0
TOWNSUSDT,31.0,10.0,2.4390243902438877,-3.4146341463414718,0,0,0,0
TOWNSUSDT,18.0,19.0,0.49751243781094656,-1.4925373134328397,0,0,0,0
TOWNSUSDT,14.0,19.39234449760766,1.500000000000004,-1.500000000000004,0,0,0,0
TOWNSUSDT,33.0,20.0,2.5125628140703586,-3.015075376884419,0,0,0,0
